iso3,country,mil_spend_2023_usd_b,mil_spend_cagr_2014_2023,mil_spend_pct_gdp_2023,global_share_2023,modernization_pressure_score,nato_member
UKR,Ukraine,65.0,0.3631362362874935,36.11111111111111,0.031265031265031266,0.8121412803532009,False
USA,United States,916.0,0.04620888575346749,3.347953216374269,0.4405964405964406,0.2782680178407205,True
POL,Poland,31.0,0.1339548001322033,3.6904761904761907,0.014911014911014911,0.1702570806954889,True
NLD,Netherlands,23.0,0.09696300628523202,2.277227722772277,0.011063011063011063,0.11531528514805305,True
ISR,Israel,27.0,0.0527466580397864,5.142857142857142,0.012987012987012988,0.11132836617541482,False
RUS,Russia,109.0,0.029370960950636293,5.396039603960396,0.05242905242905243,0.11059691497376632,False
CHN,China,296.0,0.035629034785792824,1.6638560989319842,0.14237614237614238,0.10970218715933792,False
IND,India,84.0,0.059337544591594904,2.3529411764705883,0.04040404040404041,0.09419206907216654,False
SAU,Saudi Arabia,75.0,-0.007145296902064335,6.756756756756757,0.03607503607503607,0.08610852974582155,False
ESP,Spain,22.0,0.06966810981838623,1.3580246913580247,0.010582010582010581,0.07745044364916084,True
TUR,Turkey,24.0,0.04608191864321465,2.1621621621621623,0.011544011544011544,0.06595921539704919,True
KOR,South Korea,47.0,0.030068605214964794,2.7485380116959064,0.022607022607022607,0.06345590692176493,False
DEU,Germany,67.0,0.04018012040412744,1.4823008849557522,0.03222703222703223,0.06111272144996279,True
GBR,United Kingdom,75.0,0.02322268207384326,2.245508982035928,0.03607503607503607,0.0566842827471826,True
NOR,Norway,10.0,0.0404263169742658,1.8181818181818181,0.00481000481000481,0.05309058495528299,True
CAN,Canada,29.0,0.04214890855486164,1.355140186915888,0.013949013949013949,0.05294664533411727,True
ITA,Italy,35.0,0.03357942433558714,1.5981735159817352,0.016835016835016835,0.04930260543633047,True
AUS,Australia,33.0,0.02684409553926259,1.9186046511627908,0.015873015873015872,0.04662354935965344,False
FRA,France,61.0,0.01574285000854081,2.0,0.02934102934102934,0.04336017601943869,True
JPN,Japan,50.0,0.006898732231266358,1.187648456057007,0.02405002405002405,0.022104813702725698,False
